"","speaker_sequence","round","speaker_type","n","total","percentage"
"1","informative_0",1,"anti",0,NA,0
"2","informative_0",1,"neutral",12,26,46.1538461538462
"3","informative_0",1,"pro",14,26,53.8461538461538
"4","informative_0",2,"anti",7,26,26.9230769230769
"5","informative_0",2,"neutral",12,26,46.1538461538462
"6","informative_0",2,"pro",7,26,26.9230769230769
"7","informative_0",3,"anti",0,NA,0
"8","informative_0",3,"neutral",12,26,46.1538461538462
"9","informative_0",3,"pro",14,26,53.8461538461538
"10","informative_0",4,"anti",8,26,30.7692307692308
"11","informative_0",4,"neutral",10,26,38.4615384615385
"12","informative_0",4,"pro",8,26,30.7692307692308
"13","informative_0",5,"anti",0,NA,0
"14","informative_0",5,"neutral",13,26,50
"15","informative_0",5,"pro",13,26,50
"16","informative_1",1,"anti",16,33,48.4848484848485
"17","informative_1",1,"neutral",16,33,48.4848484848485
"18","informative_1",1,"pro",1,33,3.03030303030303
"19","informative_1",2,"anti",11,33,33.3333333333333
"20","informative_1",2,"neutral",21,33,63.6363636363636
"21","informative_1",2,"pro",1,33,3.03030303030303
"22","informative_1",3,"anti",15,33,45.4545454545455
"23","informative_1",3,"neutral",16,33,48.4848484848485
"24","informative_1",3,"pro",2,33,6.06060606060606
"25","informative_1",4,"anti",11,33,33.3333333333333
"26","informative_1",4,"neutral",21,33,63.6363636363636
"27","informative_1",4,"pro",1,33,3.03030303030303
"28","informative_1",5,"anti",9,33,27.2727272727273
"29","informative_1",5,"neutral",17,33,51.5151515151515
"30","informative_1",5,"pro",7,33,21.2121212121212
"31","pers_minus_0",1,"anti",6,20,30
"32","pers_minus_0",1,"neutral",12,20,60
"33","pers_minus_0",1,"pro",2,20,10
"34","pers_minus_0",2,"anti",10,20,50
"35","pers_minus_0",2,"neutral",9,20,45
"36","pers_minus_0",2,"pro",1,20,5
"37","pers_minus_0",3,"anti",3,20,15
"38","pers_minus_0",3,"neutral",7,20,35
"39","pers_minus_0",3,"pro",10,20,50
"40","pers_minus_0",4,"anti",11,20,55
"41","pers_minus_0",4,"neutral",7,20,35
"42","pers_minus_0",4,"pro",2,20,10
"43","pers_minus_0",5,"anti",7,20,35
"44","pers_minus_0",5,"neutral",11,20,55
"45","pers_minus_0",5,"pro",2,20,10
"46","pers_minus_1",1,"anti",11,24,45.8333333333333
"47","pers_minus_1",1,"neutral",13,24,54.1666666666667
"48","pers_minus_1",1,"pro",0,NA,0
"49","pers_minus_1",2,"anti",6,24,25
"50","pers_minus_1",2,"neutral",13,24,54.1666666666667
"51","pers_minus_1",2,"pro",5,24,20.8333333333333
"52","pers_minus_1",3,"anti",4,24,16.6666666666667
"53","pers_minus_1",3,"neutral",11,24,45.8333333333333
"54","pers_minus_1",3,"pro",9,24,37.5
"55","pers_minus_1",4,"anti",5,24,20.8333333333333
"56","pers_minus_1",4,"neutral",18,24,75
"57","pers_minus_1",4,"pro",1,24,4.16666666666667
"58","pers_minus_1",5,"anti",4,24,16.6666666666667
"59","pers_minus_1",5,"neutral",11,24,45.8333333333333
"60","pers_minus_1",5,"pro",9,24,37.5
"61","pers_minus_2",1,"anti",8,23,34.7826086956522
"62","pers_minus_2",1,"neutral",14,23,60.8695652173913
"63","pers_minus_2",1,"pro",1,23,4.34782608695652
"64","pers_minus_2",2,"anti",7,23,30.4347826086957
"65","pers_minus_2",2,"neutral",10,23,43.4782608695652
"66","pers_minus_2",2,"pro",6,23,26.0869565217391
"67","pers_minus_2",3,"anti",7,23,30.4347826086957
"68","pers_minus_2",3,"neutral",13,23,56.5217391304348
"69","pers_minus_2",3,"pro",3,23,13.0434782608696
"70","pers_minus_2",4,"anti",5,23,21.7391304347826
"71","pers_minus_2",4,"neutral",11,23,47.8260869565217
"72","pers_minus_2",4,"pro",7,23,30.4347826086957
"73","pers_minus_2",5,"anti",10,23,43.4782608695652
"74","pers_minus_2",5,"neutral",10,23,43.4782608695652
"75","pers_minus_2",5,"pro",3,23,13.0434782608696
"76","pers_plus_0",1,"anti",3,26,11.5384615384615
"77","pers_plus_0",1,"neutral",18,26,69.2307692307692
"78","pers_plus_0",1,"pro",5,26,19.2307692307692
"79","pers_plus_0",2,"anti",4,26,15.3846153846154
"80","pers_plus_0",2,"neutral",18,26,69.2307692307692
"81","pers_plus_0",2,"pro",4,26,15.3846153846154
"82","pers_plus_0",3,"anti",15,26,57.6923076923077
"83","pers_plus_0",3,"neutral",10,26,38.4615384615385
"84","pers_plus_0",3,"pro",1,26,3.84615384615385
"85","pers_plus_0",4,"anti",4,26,15.3846153846154
"86","pers_plus_0",4,"neutral",16,26,61.5384615384615
"87","pers_plus_0",4,"pro",6,26,23.0769230769231
"88","pers_plus_0",5,"anti",3,26,11.5384615384615
"89","pers_plus_0",5,"neutral",15,26,57.6923076923077
"90","pers_plus_0",5,"pro",8,26,30.7692307692308
"91","pers_plus_1",1,"anti",0,NA,0
"92","pers_plus_1",1,"neutral",18,28,64.2857142857143
"93","pers_plus_1",1,"pro",10,28,35.7142857142857
"94","pers_plus_1",2,"anti",6,28,21.4285714285714
"95","pers_plus_1",2,"neutral",16,28,57.1428571428571
"96","pers_plus_1",2,"pro",6,28,21.4285714285714
"97","pers_plus_1",3,"anti",15,28,53.5714285714286
"98","pers_plus_1",3,"neutral",11,28,39.2857142857143
"99","pers_plus_1",3,"pro",2,28,7.14285714285714
"100","pers_plus_1",4,"anti",1,28,3.57142857142857
"101","pers_plus_1",4,"neutral",17,28,60.7142857142857
"102","pers_plus_1",4,"pro",10,28,35.7142857142857
"103","pers_plus_1",5,"anti",11,28,39.2857142857143
"104","pers_plus_1",5,"neutral",14,28,50
"105","pers_plus_1",5,"pro",3,28,10.7142857142857
"106","pers_plus_2",1,"anti",2,22,9.09090909090909
"107","pers_plus_2",1,"neutral",12,22,54.5454545454545
"108","pers_plus_2",1,"pro",8,22,36.3636363636364
"109","pers_plus_2",2,"anti",12,22,54.5454545454545
"110","pers_plus_2",2,"neutral",10,22,45.4545454545455
"111","pers_plus_2",2,"pro",0,NA,0
"112","pers_plus_2",3,"anti",7,22,31.8181818181818
"113","pers_plus_2",3,"neutral",10,22,45.4545454545455
"114","pers_plus_2",3,"pro",5,22,22.7272727272727
"115","pers_plus_2",4,"anti",10,22,45.4545454545455
"116","pers_plus_2",4,"neutral",8,22,36.3636363636364
"117","pers_plus_2",4,"pro",4,22,18.1818181818182
"118","pers_plus_2",5,"anti",3,22,13.6363636363636
"119","pers_plus_2",5,"neutral",12,22,54.5454545454545
"120","pers_plus_2",5,"pro",7,22,31.8181818181818
